Pick,Player,Sleeper position,Consensus ADP order (not decimal ADP),Positional ADP order among ECR players,FantasyPros PPR ECR,RotoBaller PPR rank,CBS PPR rank,Highest ECR alternatives at position still available,Public PPR season projection (blank unavailable),Bye (FantasyPros)
46,D'Andre Swift,RB,44,19,50,35,38,Bucky Irving; David Montgomery; Quinshon Judkins,,10
47,Terry McLaurin,WR,56,25,47,48,49,Luther Burden III; DJ Moore; Jameson Williams,,7
48,Luther Burden,WR,52,24,46,43,43,DJ Moore; Jameson Williams; Christian Watson,,10
49,Joe Burrow,QB,54,4,44,65,63,Drake Maye; Jalen Hurts; Jayden Daniels,313.7,6
50,Bucky Irving,RB,47,21,53,44,50,David Montgomery; Quinshon Judkins; Bhayshul Tuten,,10
51,Jadarian Price,RB,58,24,65,55,58,David Montgomery; Quinshon Judkins; Bhayshul Tuten,,11
52,Jameson Williams,WR,57,26,52,45,55,DJ Moore; Christian Watson; Parker Washington,,6
53,David Montgomery,RB,49,22,60,53,57,Quinshon Judkins; Bhayshul Tuten; TreVeyon Henderson,,8
54,Quinshon Judkins,RB,45,20,61,63,47,Bhayshul Tuten; TreVeyon Henderson; Rhamondre Stevenson,,11
55,Bhayshul Tuten,RB,55,23,64,59,54,TreVeyon Henderson; Rhamondre Stevenson; Jaylen Warren,,7
56,TreVeyon Henderson,RB,60,25,68,70,76,Rhamondre Stevenson; Jaylen Warren; Tony Pollard,,11
57,DJ Moore,WR,48,22,48,49,46,Christian Watson; Parker Washington; Rome Odunze,,7
58,Christian Watson,WR,65,29,56,56,61,Parker Washington; Rome Odunze; Mike Evans,,11
59,Mike Evans,WR,67,30,62,52,72,Parker Washington; Rome Odunze; Carnell Tate,,8
60,Drake Maye,QB,53,3,36,67,51,Jalen Hurts; Jayden Daniels; Caleb Williams,325.0,11
61,Tyler Warren,TE,51,4,51,61,52,Harold Fannin Jr.; Kyle Pitts Sr.; Tucker Kraft,200.8,13
62,Parker Washington,WR,63,28,58,50,56,Rome Odunze; Carnell Tate; Marvin Harrison Jr.,,7
63,Rome Odunze,WR,59,27,59,64,60,Carnell Tate; Marvin Harrison Jr.; Chris Godwin Jr.,,10
64,Jaylen Warren,RB,68,27,71,66,77,Rhamondre Stevenson; Tony Pollard; Rico Dowdle,,9
65,Jalen Hurts,QB,61,5,55,57,68,Jayden Daniels; Caleb Williams; Justin Herbert,321.8,10
66,Rhamondre Stevenson,RB,64,26,70,58,59,Tony Pollard; Rico Dowdle; Jonathon Brooks,,11
67,DK Metcalf,WR,80,34,77,81,84,Carnell Tate; Marvin Harrison Jr.; Chris Godwin Jr.,,9
68,Caleb Williams,QB,77,8,63,72,98,Jayden Daniels; Justin Herbert; Trevor Lawrence,,10
69,Tony Pollard,RB,75,28,81,80,75,Rico Dowdle; Jonathon Brooks; RJ Harvey,,9
70,Carnell Tate,WR,74,32,66,90,89,Marvin Harrison Jr.; Chris Godwin Jr.; Brian Thomas Jr.,,9
71,Brian Thomas,WR,85,36,79,78,71,Marvin Harrison Jr.; Chris Godwin Jr.; Michael Pittman Jr.,,7
72,Tucker Kraft,TE,69,6,78,74,66,Harold Fannin Jr.; Kyle Pitts Sr.; Sam LaPorta,,11
73,RJ Harvey,RB,86,32,90,96,102,Rico Dowdle; Jonathon Brooks; Kenny Gainwell,,10
74,Jayden Daniels,QB,62,6,57,60,70,Justin Herbert; Trevor Lawrence; Dak Prescott,312.7,7
75,Marvin Harrison,WR,72,31,67,62,64,Chris Godwin Jr.; Michael Pittman Jr.; Courtland Sutton,,14
